query,postive_doc,negative_doc
不满八周岁的未成年人实施民事法律行为的规定是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十条【无民事行为能力的未成年人】不满八周岁的未成年人为无民事行为能力人由其法定代理人代理实施民事法律行为。","第七编 侵 权 责 任,无,第六章 医疗损害责任,无,第一千二百二十三条【药品、消毒产品、医疗器械的缺陷或者输入不合格血液的侵权责任】因药品、消毒产品、医疗器械的缺陷或者输入不合格的血液造成患者损害的患者可以向药品上市许可持有人、生产者、血液提供机构请求赔偿也可以向医疗机构请求赔偿。患者向医疗机构请求赔偿的医疗机构赔偿后有权向负有责任的药品上市许可持有人、生产者、血液提供机构追偿。"
不满八周岁未成年人的民事行为能力法律规定,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十条【无民事行为能力的未成年人】不满八周岁的未成年人为无民事行为能力人由其法定代理人代理实施民事法律行为。","第七编 侵权责任,无,第七章 环境污染和生态破坏责任,无,第一千二百三十一条【两个以上侵权人的责任大小确定】两个以上侵权人污染环境、破坏生态的承担责任的大小根据污染物的种类、浓度、排放量破坏生态的方式、范围、程度以及行为对损害后果所起的作用等因素确定。"
不满八周岁的未成年人如何实施民事法律行为的法律规定,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十条【无民事行为能力的未成年人】不满八周岁的未成年人为无民事行为能力人由其法定代理人代理实施民事法律行为。","第七编 侵 权 责 任,无,第八章 高度危险责任,无,第一千二百四十二条【非法占有高度危险物致害责任】非法占有高度危险物造成他人损害的由非法占有人承担侵权责任。所有人、管理人不能证明对防止非法占有尽到高度注意义务的与非法占有人承担连带责任。"
无民事行为能力的成年人如何确定其民事法律行为的代理实施？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十一条【无民事行为能力的成年人】不能辨认自己行为的成年人为无民事行为能力人由其法定代理人代理实施民事法律行为。八周岁以上的未成年人不能辨认自己行为的适用前款规定。","第三编 合 同,第二分编 典 型 合 同,第二十四章 物业服务合同,无,第九百三十八条【物业服务合同内容和形式】物业服务合同的内容一般包括服务事项、服务质量、服务费用的标准和收取办法、维修资金的使用、服务用房的管理和使用、服务期限、服务交接等条款。物业服务人公开作出的有利于业主的服务承诺为物业服务合同的组成部分。物业服务合同应当采用书面形式。"
无民事行为能力的成年人由法定代理人代理实施民事法律行为的规定是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十一条【无民事行为能力的成年人】不能辨认自己行为的成年人为无民事行为能力人由其法定代理人代理实施民事法律行为。八周岁以上的未成年人不能辨认自己行为的适用前款规定。","第一编 总 则,无,第四章 非法人组织,无,第一百零五条【非法人组织的代表人】非法人组织可以确定一人或者数人代表该组织从事民事活动。"
无民事行为能力的成年人如何由法定代理人代理实施民事法律行为？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十一条【无民事行为能力的成年人】不能辨认自己行为的成年人为无民事行为能力人由其法定代理人代理实施民事法律行为。八周岁以上的未成年人不能辨认自己行为的适用前款规定。","第七编 侵 权 责 任,无,第九章 饲养动物损害责任,无,第一千二百四十五条【饲养动物致害责任的一般规定】饲养的动物造成他人损害的动物饲养人或者管理人应当承担侵权责任但是能够证明损害是因被侵权人故意或者重大过失造成的可以不承担或者减轻责任。"
限制民事行为能力的成年人实施民事法律行为的法律规定,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十二条【限制民事行为能力的成年人】不能完全辨认自己行为的成年人为限制民事行为能力人实施民事法律行为由其法定代理人代理或者经其法定代理人同意、追认但是可以独立实施纯获利益的民事法律行为或者与其智力、精神健康状况相适应的民事法律行为。","第五编 婚 姻 家 庭,无,第二章 结 婚,无,第一千零五十条【婚后双方互为家庭成员】登记结婚后按照男女双方约定女方可以成为男方家庭的成员男方可以成为女方家庭的成员。"
限制民事行为能力的成年人实施民事法律行为的具体法律规定是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十二条【限制民事行为能力的成年人】不能完全辨认自己行为的成年人为限制民事行为能力人实施民事法律行为由其法定代理人代理或者经其法定代理人同意、追认但是可以独立实施纯获利益的民事法律行为或者与其智力、精神健康状况相适应的民事法律行为。","第二编 物 权,第三分编 用 益 物 权,第十五章 地 役 权,无,第三百七十二条【地役权的定义】地役权人有权按照合同约定利用他人的不动产以提高自己的不动产的效益。前款所称他人的不动产为供役地自己的不动产为需役地。"
限制民事行为能力的成年人实施民事法律行为的规定,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十二条【限制民事行为能力的成年人】不能完全辨认自己行为的成年人为限制民事行为能力人实施民事法律行为由其法定代理人代理或者经其法定代理人同意、追认但是可以独立实施纯获利益的民事法律行为或者与其智力、精神健康状况相适应的民事法律行为。","第五编 婚 姻 家 庭,无,第四章 离 婚,无,第一千零七十九条【诉讼离婚】夫妻一方要求离婚的可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。人民法院审理离婚案件应当进行调解如果感情确已破裂调解无效的应当准予离婚。有下列情形之一调解无效的应当准予离婚一方被宣告失踪另一方提起离婚诉讼的应当准予离婚。经人民法院判决不准离婚后双方又分居满一年一方再次提起离婚诉讼的应当准予离婚。"
法定代理人是指无民事行为能力人和限制民事行为能力人的监护人，这一规定在民法典中的具体条款是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十三条【法定代理人】无民事行为能力人、限制民事行为能力人的监护人是其法定代理人。","第一编 总 则,无,第三章 法 人,第一节 一 般 规 定,第六十二条【法定代表人职务侵权行为的责任承担】法定代表人因执行职务造成他人损害的由法人承担民事责任。法人承担民事责任后依照法律或者法人章程的规定可以向有过错的法定代表人追偿。"
